47:[39, 19, 16, 31, 5, 15, 43, 33, 6, 24, 11, 25, 22, 9, 38]
48:[39, 14, 31, 8, 32, 34, 20, 18, 6, 26, 17, 30, 16, 9, 1]
49:[30, 38, 34, 22, 16, 40, 13, 29, 26, 33, 12, 35, 18, 8, 1]
50:[25, 32, 2, 21, 42, 44, 46, 1, 3, 28, 47, 10, 14, 39, 34]
51:[43, 12, 11, 28, 17, 42, 6, 36, 27, 7, 5, 24, 34, 37, 29]
52:[2, 21, 31, 22, 44, 14, 17, 41, 3, 37, 4, 47, 35, 40, 46]
53:[20, 18, 32, 1, 22, 46, 34, 44, 11, 6, 9, 43, 41, 21, 28]
54:[30, 46, 14, 6, 3, 44, 7, 16, 21, 29, 38, 26, 17, 1, 13]
55:[23, 22, 12, 3, 10, 8, 43, 47, 38, 7, 5, 20, 26, 30, 45]
56:[18, 5, 13, 16, 47, 11, 35, 23, 36, 43, 45, 1, 46, 8, 28]
57:[20, 25, 16, 42, 2, 17, 45, 21, 41, 43, 4, 33, 30, 40, 11]
58:[12, 26, 28, 22, 19, 10, 27, 24, 38, 33, 48, 34, 47, 21, 31]
59:[40, 26, 43, 33, 38, 45, 25, 8, 47, 3, 10, 15, 30, 9, 21]
60:[6, 34, 29, 36, 27, 22, 47, 7, 45, 8, 48, 12, 41, 5, 28]
61:[46, 32, 40, 1, 19, 5, 29, 14, 16, 6, 10, 27, 11, 9, 22]
62:[1, 4, 17, 10, 40, 12, 20, 39, 8, 48, 27, 5, 46, 45, 2]
63:[10, 21, 42, 13, 5, 19, 11, 22, 14, 32, 30, 46, 8, 9, 29]
64:[8, 46, 17, 41, 24, 40, 37, 1, 7, 29, 25, 3, 31, 38, 12]
65:[47, 20, 24, 1, 25, 37, 18, 46, 3, 12, 43, 44, 23, 32, 16]
66:[18, 16, 34, 44, 2, 39, 24, 13, 28, 1, 15, 30, 29, 37, 3]
67:[48, 24, 20, 7, 25, 3, 34, 39, 4, 23, 6, 42, 35, 9, 41]
68:[39, 9, 29, 22, 36, 30, 24, 8, 1, 11, 13, 27, 45, 46, 12]
69:[26, 34, 42, 43, 28, 25, 40, 41, 9, 29, 10, 33, 31, 20, 3]
70:[34, 46, 2, 42, 15, 39, 1, 30, 27, 29, 28, 10, 36, 44, 20]
71:[5, 46, 9, 12, 38, 44, 1, 23, 16, 14, 30, 3, 45, 18, 40]
72:[24, 22, 29, 39, 10, 11, 15, 34, 46, 21, 9, 6, 38, 16, 17]
73:[7, 35, 19, 13, 32, 36, 24, 21, 22, 45, 9, 3, 1, 26, 46]
74:[45, 46, 34, 30, 42, 32, 3, 43, 19, 4, 29, 12, 14, 36, 1]
75:[9, 16, 8, 43, 14, 37, 38, 3, 35, 42, 6, 21, 33, 23, 2]
76:[15, 28, 5, 40, 48, 31, 14, 9, 21, 47, 2, 45, 44, 13, 10]
77:[10, 1, 9, 33, 15, 29, 7, 26, 39, 12, 23, 22, 8, 14, 37]
78:[27, 29, 17, 28, 4, 11, 15, 43, 31, 47, 32, 40, 45, 33, 14]
79:[4, 10, 43, 2, 31, 21, 36, 27, 38, 42, 8, 14, 34, 5, 3]
80:[30, 19, 44, 31, 16, 34, 5, 35, 9, 33, 45, 23, 32, 10, 47]
81:[15, 39, 2, 24, 17, 44, 35, 19, 26, 41, 45, 30, 34, 4, 25]
82:[43, 9, 8, 35, 5, 16, 22, 26, 12, 7, 10, 19, 6, 27, 32]
83:[26, 7, 9, 38, 19, 42, 12, 18, 34, 28, 37, 46, 10, 20, 15]
84:[35, 7, 9, 27, 22, 12, 38, 11, 34, 3, 8, 2, 19, 33, 40]
85:[37, 35, 45, 14, 24, 18, 9, 4, 5, 34, 21, 31, 46, 40, 39]
86:[2, 40, 45, 13, 24, 38, 35, 48, 22, 1, 14, 3, 33, 25, 5]
